,ID-piracy,SEG-piracy,ID-license,SEG-license
0,vikzd2sqkgy7haevxjvccupxkbu8snl6.mp4,390-510,204218ca962308bfb754858b04cb0b22.mp4,493-612
1,nxes3hclqgeoabw5gemrcmjtswogpqhk.mp4,443-524,924fcffdc984bbb3ffae5b14974b3c42.mp4,297-400
2,uap1f3br9vgip1gkud1n8kolboctna17.mp4,366-429,0f29302bdaa1f6729515bd1d6a887779.mp4,421-483
3,fufjgrtr5c6ejf8t41p7jr686ufg1e6u.mp4,352-443,e2235520f7d27eb7019763491c1793cb.mp4,86-177
4,0v6hb6lkgyfj9i0zra8okhp2vbg6vy7y.mp4,99-411,a0c9cc64088f25405de0588ec7a4caba.mp4,1208-1522
5,1hg6d8ii594rgu35ltw71uur9n6i1zxg.mp4,371-428,2d256d3ba0a68aeeb3699263750f2bd5.mp4,257-313
6,5q241ka8vpw0aqvhger4g6lqwbsom743.mp4,181-452,025449ac388f8d625b1316572b44722e.mp4,400-729
7,8ifyo603rjj7zn2vr0kzvwrdyt6im3pq.mp4,9-965,56c9e111571c4847afd4ce4ed1c3c5c9.mp4,12-772
8,ry1wam39j7kejnyv4aruetlmutqp7qhd.mp4,483-582,050066643aa2aa369216ff6e615d683d.mp4,146-245
9,fx13fvyhzqyq22gvsr7svwq6z7lobost.mp4,181-297,3f3a30c842dc7a468245b86b30c530d0.mp4,246-365
10,ybtklh9sd6iwqwjmciepwfz17y6gqr32.mp4,211-354,5ddd14aa6e5928bb215b9ed1b073af91.mp4,743-886
11,pfy5fpkqwyd1kk610nwid1zya4ub2mik.mp4,656-842,45ea9187d5ade9f6dabd354932768ce6.mp4,812-998
12,k7jatjpb4otjx2m8izfgsbs1oxlb4o60.mp4,512-678,0693e39c7ff42f643f833ca800ec03ea.mp4,652-842
13,f5vd2w5hwlfc8sss6yo4s058xsq0oj6b.mp4,-1365,a2ab633f71a416390a8fcab8cc71893d.mp4,-1255
14,4ja46sjuccbqczw0m3axv5loa8m9t8a5.mp4,1335-1500,f17594d9bb2f51fa517898cf402dfa31.mp4,601-778
15,mh1dhz3rxzu914b414mc2dj68cj73so4.mp4,187-284,6a4af34a12c71eede5080d98b127bf3e.mp4,955-1052
16,c6tsu5jsyt00susyhdhwv64knoxq4rwt.mp4,101-268,a2ab633f71a416390a8fcab8cc71893d.mp4,912-1083
17,b2cnd2omatsew1joowlb0xk38a28lr13.mp4,798-943,a03666f6648f9d344f65561998ab202a.mp4,172-338
18,z98gg3742i1m3tnzfcsr4l6wc6qcmy9y.mp4,108-287,41023c4b1b127ee26f13d9754a311e92.mp4,1025-1195
19,vza8ty9ovxklonvh06t6sjh37ijhrktk.mp4,343-414,e1b476bbbbd81d03bbbce7466a961c6f.mp4,422-497
20,goepp8fprjj3gqdwhq81j4zzzjdj2vnp.mp4,172-273,4dbf1e5781face4cfadef43ca2805ce6.mp4,214-315
21,yzj8ow2tpwaiufq5x0ltaukzaxf1pyob.mp4,1237-1291,7ae8dba100ff92da051677318f1bcb60.mp4,379-436
22,k6jc462r27nm6tnlf04ppg0mr54tican.mp4,782-839,d8f7d4ce5c37e725dc47d634a4115011.mp4,568-626
23,q8sckn4h7evx8iv9zqbt8bz04wxapqf5.mp4,88-235,050066643aa2aa369216ff6e615d683d.mp4,244-391
24,tw24od046irqqp8zyskkkchxc4a0ruwh.mp4,161-199,441c3db4884b412ee3b99db89c350fe3.mp4,251-289
25,18ishyccpyx9o4koc2woxtv28y94xts2.mp4,184-290,5f13eb105db5ddd1bef7d77f3bfa6a25.mp4,488-622
26,765bpnjsfnhfoj7e439fpab4yr4kyg1b.mp4,101-196,56de9bb8450659e6c9bebb25fe30d39f.mp4,429-531
27,u35w590ja28rc5jejvg03pj62dlvrswh.mp4,210-266,ac3f9d3784bc09586ad06f1ba23d7c0a.mp4,159-188
28,6rgoslak5orv9e8oj4uz1ai2e44ybf44.mp4,306-504,a4dd59660a0f7e0299e2fac4c4f2e5e1.mp4,682-884
29,q3gje1go50db1bklk91zqt7vg7p64tcu.mp4,613-776,97dfff80d98a8db50fa90dc01651a64f.mp4,70-74
30,e23o2cbx20e0bv5f28y7woe8ijph5p6f.mp4,288-420,0ac7ed0507b2364e40030d11bf52ee5d.mp4,445-577
31,9tlufseaabmaol9vad6ijc02k7ums1v1.mp4,862-965,2d256d3ba0a68aeeb3699263750f2bd5.mp4,112-214
32,5prtt0ptf9x3rkyqbuon8pcz4gexj5k8.mp4,281-345,94b89f42ba942b26cffb47de0b762a47.mp4,191-255
33,5jy71arvnhgd4o3fwjds3x7mieu7iso9.mp4,1063-1139,a7f3abafc0ea6ea19a70e4af6bbde13f.mp4,78-150
34,qoton7unv1e6n9idn1380u1qckfa2kxw.mp4,310-541,1d85556092f9b4bcbd205060f305d6d1.mp4,494-725
35,vh161vegf8zh93grqg7m65azolkrhb4v.mp4,645-761,92c603f6d4d3680426c801fd316c7278.mp4,644-760
36,5slyznkd37grbwpr74zu2lq6yjw2v82a.mp4,241-305,2fe0b8653742a29dd4c2f29cef3fc7d3.mp4,159-232
37,vqruynr2e6lu0w6rqfr9hiyuoql5bqqp.mp4,301-365,e94b5a8c810d830cadbd8cdf28694dcc.mp4,235-299
38,w9ejlu4kwrb9fldcjce3syrzwfveg5rc.mp4,718-748,e94b5a8c810d830cadbd8cdf28694dcc.mp4,41-70
39,ckpis6f2rx9ktmk5wxpo6znu6yht8gsh.mp4,184-252,f32aec89961652207aefe1f8675899bd.mp4,702-770
40,tvhbhtgn3e0hmrvetfig6bvecgt8ngy6.mp4,200-281,34aa86f7b9f143ac494294e4eb6e1cbf.mp4,483-587
41,maz8faa028cmdg4gma4f6m6c701ugxef.mp4,33-1005,364d6150562b35fefff3ce6b3fdf843e.mp4,17-1342
42,hrw7kvpzenop08xp9uzywic9cqnm77ni.mp4,220-288,9cbc3cf610701511c42774984a4b6aa1.mp4,524-596
43,4nwuggfnbubduoc0rgtpu0c52jqnc49a.mp4,131-354,92196403ca5a37f3b2a268f11f74356a.mp4,211-434
44,h3eq4yrlpq5l61jjhx614a7rs3reuxyc.mp4,7-796,975f32a24cb025fdbb39c71a9bce4d6f.mp4,15-846
45,t63xr849zhrbp27s131csib2mhxg78k6.mp4,274-420,94b89f42ba942b26cffb47de0b762a47.mp4,132-278
46,ckrw63w7r0vzqgsxsh73vrkir86b02vj.mp4,-421,1139cb90feffbb3b435cb720f8e7c426.mp4,-347
47,gouwmk6omum1jxrqad6uqgdv5jfbdy9n.mp4,178-396,eb7f498a7cb1c4c0234fdec4f2d1a174.mp4,862-1098
48,9416x2ueeh4e46ynd8h1nni32am055x6.mp4,199-311,8cc8785efca469cdb6fb6efdcd3421d2.mp4,412-551
49,x5nr68qrvj6mzngmo4e08113fxu7lcm3.mp4,144-336,f78a64e4f06b6b82d0103165d00c1577.mp4,1029-1222
50,m36mxlmyxf5l7hx7artc32dnezisnml7.mp4,295-325,449e6fa2827297f8b44b18ec6931b79a.mp4,60-234
51,bjpdp7sf6wixi39y8qrcayadn3mhggi3.mp4,87-298,32ccad6eb2071f96a7664b4df4b0eeb6.mp4,134-379
52,5ywi2j51d35j2y53wb5n1gmmtw9rusc0.mp4,549-657,f81df1b566b74b7c586e29306624e132.mp4,560-668
53,tls38khgcmb4oypkbmfv6cbyplxmad00.mp4,797-877,08d8224d59b55298abaf56b35a2753e3.mp4,100-179
54,e9afutvovm54zp2m7o7uujh7bo75fozr.mp4,262-343,3a6fbaefd25a49db80c8d8db21f1c1d7.mp4,327-411
55,yg3e6nnthypbbuchtetjpp1mmwdbe34r.mp4,246-390,cc0b0425f0b6ba31e1b4fde9db064230.mp4,1202-1346
56,kcpeva22x9as1uzrwgverdr8nwzqb8d8.mp4,403-483,3cbdf1a7d2c4600866b2ee7acef454d9.mp4,284-391
57,vxx9t5n57o2t72ewp36fa5vyg462supk.mp4,65-117,975f32a24cb025fdbb39c71a9bce4d6f.mp4,234-286
58,5zp2fa2o1t6vxxniewky9lq55ounk3ba.mp4,187-291,aec0dffd97bf32e7a1ab1650d7004e9f.mp4,463-567
